Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	200000001	1.62436	0.982992	2
1	202500001	1.17781	0.982992	2
1	205000001	-1	0.982992	2
1	207500001	0.556681	0.982992	2
1	210000001	1.12746	0.982992	2
1	212500001	1.02207	0.982992	2
1	215000001	0.538678	0.982992	2
1	217500001	0.982992	0.982992	2
1	220000001	1.60182	1.87009	4
1	222500001	2.42269	1.87009	4
1	225000001	1.68852	1.87009	4
1	227500001	1.94834	1.87009	4
1	230000001	1.87009	1.87009	4
1	232500001	1.04522	0.839495	2
1	235000001	1.15699	0.839495	2
1	237500001	0.642357	0.839495	2
1	240000001	0.757522	0.839495	2
1	242500001	0.882091	0.839495	2
1	245000001	0.7969	0.839495	2
1	247500001	-1	-1	2
10	1	1.21889	1.4375	3
10	2500001	1.09985	1.4375	3
10	5000001	1.86022	1.4375	3
10	7500001	1.581	1.4375	3
10	10000001	1.69574	1.4375	3
10	12500001	1.41899	1.4375	3
10	15000001	1.37654	1.4375	3
10	17500001	-1	1.4375	3
10	20000001	1.25421	1.4375	3
10	22500001	1.53217	1.4375	3
10	25000001	1.37162	1.4375	3
10	27500001	1.5716	1.4375	3
10	30000001	1.21535	1.4375	3
10	32500001	1.45139	1.4375	3
10	35000001	1.42362	1.4375	3
10	37500001	-1	1.4375	3
10	40000001	-1	1.4375	3
10	42500001	1.46662	1.4375	3
10	45000001	-1	1.4375	3
10	47500001	-1	1.4375	3
10	50000001	-1	1.4375	3
10	52500001	1.47331	1.4375	3
10	55000001	1.15316	1.4375	3
10	57500001	1.60794	1.4375	3
10	60000001	3.15469	2.4148	5
10	62500001	1.67492	2.4148	5
10	65000001	1.53587	1.54022	3
10	67500001	1.37685	1.54022	3
10	70000001	1.54456	1.54022	3
10	72500001	1.57133	1.54022	3
10	75000001	1.57304	1.54022	3
10	77500001	0.942075	1.54022	3
10	80000001	1.55613	1.54022	3
10	82500001	1.36246	1.54022	3
10	85000001	1.95737	2.25373	5
10	87500001	-1	2.25373	5
10	90000001	2.35239	2.25373	5
10	92500001	2.59411	2.25373	5
10	95000001	2.25373	2.25373	5
10	97500001	2.23259	2.25373	5
10	100000001	2.60558	2.56172	5
10	102500001	2.47046	2.56172	5
10	105000001	2.60897	2.56172	5
10	107500001	2.55251	2.56172	5
10	110000001	2.57092	2.56172	5
10	112500001	3.32035	2.56172	5
10	115000001	3.43044	2.56172	5
10	117500001	3.21671	2.56172	5
10	120000001	2.34494	2.56172	5
10	122500001	1.96804	2.56172	5
10	125000001	2.14213	2.56172	5
10	127500001	3.18533	2.56172	5
10	130000001	1.85119	2.56172	5
10	132500001	2.19611	2.56172	5
10	135000001	-1	-1	5
11	1	2.23911	2.23911	4
11	2500001	-1	-1	3
11	5000001	0.944479	1.57305	3
11	7500001	1.75459	1.57305	3
11	10000001	1.53443	1.57305	3
11	12500001	1.63062	1.57305	3
11	15000001	1.55938	1.57305	3
11	17500001	1.58672	1.57305	3
11	20000001	1.34351	1.34351	3
11	22500001	1.19397	1.16877	2
11	25000001	1.02094	1.16877	2
11	27500001	0.824426	1.16877	2
11	30000001	1.14357	1.16877	2
11	32500001	1.3688	1.16877	2
11	35000001	1.47011	1.16877	2
11	37500001	0.880563	0.819827	2
11	40000001	0.75909	0.819827	2
11	42500001	1.02605	0.819827	2
11	45000001	1.42792	0.819827	2
11	47500001	-1	0.819827	2
11	50000001	-1	0.819827	2
11	52500001	-1	0.819827	2
11	55000001	0.382349	0.819827	2
11	57500001	0.532941	0.819827	2
11	60000001	1.5148	1.21294	2
11	62500001	1.21321	1.21294	2
11	65000001	1.48224	1.21294	2
11	67500001	1.09234	1.21294	2
11	70000001	1.10877	1.21294	2
11	72500001	1.21267	1.21294	2
11	75000001	1.48851	1.21294	2
11	77500001	1.08279	1.21294	2
11	80000001	0.844815	1.21294	2
11	82500001	1.27537	1.21294	2
11	85000001	1.45764	1.21294	2
11	87500001	-1	1.21294	2
11	90000001	0.965631	1.21294	2
11	92500001	1.27959	1.21294	2
11	95000001	1.17047	1.21294	2
11	97500001	0.917507	1.21294	2
11	100000001	1.51626	1.21294	2
11	102500001	0.741389	1.21294	2
11	105000001	1.32219	1.21294	2
11	107500001	1.46139	1.21294	2
11	110000001	1.24217	1.21294	2
11	112500001	0.944718	1.21294	2
11	115000001	0.950436	1.21294	2
11	117500001	1.55067	1.53308	3
11	120000001	1.56887	1.53308	3
11	122500001	1.56426	1.53308	3
11	125000001	1.5155	1.53308	3
11	127500001	1.47568	1.53308	3
11	130000001	1.0762	1.53308	3
11	132500001	-1	-1	3
11	135000001	-1	-1	3
12	1	0.851502	0.85306	2
12	2500001	0.717556	0.85306	2
12	5000001	0.908783	0.85306	2
12	7500001	-1	0.85306	2
12	10000001	0.891348	0.85306	2
12	12500001	0.932146	0.85306	2
12	15000001	0.869991	0.85306	2
12	17500001	0.841747	0.85306	2
12	20000001	0.703935	0.85306	2
12	22500001	0.92173	0.85306	2
12	25000001	0.854617	0.85306	2
12	27500001	0.623459	0.85306	2
12	30000001	0.714039	0.85306	2
12	32500001	0.295071	0.310766	1
12	35000001	-1	0.310766	1
12	37500001	-1	0.310766	1
12	40000001	0.19286	0.310766	1
12	42500001	0.326461	0.310766	1
12	45000001	0.585232	0.310766	1
12	47500001	0.917651	0.971371	2
12	50000001	1.02509	0.971371	2
12	52500001	1.07158	0.971371	2
12	55000001	1.06879	0.971371	2
12	57500001	0.793789	0.971371	2
12	60000001	0.476752	0.971371	2
12	62500001	1.02466	1.11749	2
12	65000001	1.1296	1.11749	2
12	67500001	1.13718	1.11749	2
12	70000001	0.928267	1.11749	2
12	72500001	0.864677	1.11749	2
12	75000001	0.994104	1.11749	2
12	77500001	1.10537	1.11749	2
12	80000001	1.35372	1.11749	2
12	82500001	1.31768	1.11749	2
12	85000001	1.18897	1.11749	2
12	87500001	1.21458	1.11749	2
12	90000001	0.866701	1.11749	2
12	92500001	1.14308	1.11749	2
12	95000001	0.966767	1.11749	2
12	97500001	0.841273	0.781048	2
12	100000001	0.761647	0.781048	2
12	102500001	0.909978	0.781048	2
12	105000001	0.928239	0.781048	2
12	107500001	0.683774	0.781048	2
12	110000001	0.962988	0.781048	2
12	112500001	0.584849	0.781048	2
12	115000001	0.812128	0.781048	2
12	117500001	0.582743	0.781048	2
12	120000001	0.90185	0.781048	2
12	122500001	0.776825	0.781048	2
12	125000001	0.785271	0.781048	2
12	127500001	0.660272	0.781048	2
12	130000001	0.678278	0.781048	2
12	132500001	-1	-1	2
13	1	-1	-1	1
13	2500001	-1	-1	1
13	5000001	-1	-1	1
13	7500001	-1	-1	1
13	10000001	-1	-1	1
13	12500001	-1	-1	1
13	15000001	-1	-1	1
13	17500001	-1	-1	1
13	20000001	0.541361	0.475356	1
13	22500001	0.475356	0.475356	1
13	25000001	0.50829	0.475356	1
13	27500001	0.653661	0.475356	1
13	30000001	0.630175	0.475356	1
13	32500001	0.368657	0.475356	1
13	35000001	0.349935	0.475356	1
13	37500001	0.355463	0.475356	1
13	40000001	0.542785	0.475356	1
13	42500001	0.611925	0.475356	1
13	45000001	0.715958	0.475356	1
13	47500001	0.208935	0.475356	1
13	50000001	0.444042	0.475356	1
13	52500001	0.27846	0.475356	1
13	55000001	0.223322	0.475356	1
13	57500001	0.228442	0.475356	1
13	60000001	0.517701	0.475356	1
13	62500001	2.43706	2.43706	5
13	65000001	2.21034	1.89829	4
13	67500001	2.07757	1.89829	4
13	70000001	1.46355	1.89829	4
13	72500001	1.89829	1.89829	4
13	75000001	1.91514	1.89829	4
13	77500001	1.75285	1.89829	4
13	80000001	1.38716	1.89829	4
13	82500001	1.35852	1.34323	3
13	85000001	1.23245	1.34323	3
13	87500001	1.11018	1.34323	3
13	90000001	1.34323	1.34323	3
13	92500001	1.49519	1.34323	3
13	95000001	0.471233	0.0297513	0
13	97500001	0.0595025	0.0297513	0
13	100000001	0	0.0297513	0
13	102500001	0	0.0297513	0
13	105000001	0	0.0297513	0
13	107500001	0	0.0297513	0
13	110000001	0.169149	0.0297513	0
13	112500001	0.33873	0.0297513	0
13	115000001	-1	-1	0
14	1	-1	-1	1
14	2500001	-1	-1	1
14	5000001	-1	-1	1
14	7500001	-1	-1	1
14	10000001	-1	-1	1
14	12500001	-1	-1	1
14	15000001	-1	-1	1
14	17500001	-1	-1	1
14	20000001	0.91596	0.664689	1
14	22500001	0.906873	0.664689	1
14	25000001	0.476344	0.664689	1
14	27500001	0.497198	0.664689	1
14	30000001	0.597908	0.664689	1
14	32500001	0.73147	0.664689	1
14	35000001	1.405	1.09671	2
14	37500001	1.15246	1.09671	2
14	40000001	0.765629	1.09671	2
14	42500001	0.649348	1.09671	2
14	45000001	0.896391	1.09671	2
14	47500001	1.04674	1.09671	2
14	50000001	1.14668	1.09671	2
14	52500001	1.24838	1.09671	2
14	55000001	1.00246	1.09671	2
14	57500001	1.15996	1.09671	2
14	60000001	1.01484	1.09671	2
14	62500001	1.21878	1.09671	2
14	65000001	0.924555	0.921724	2
14	67500001	1.0477	0.921724	2
14	70000001	0.776478	0.921724	2
14	72500001	1.05654	0.921724	2
14	75000001	1.07133	0.921724	2
14	77500001	0.772724	0.921724	2
14	80000001	0.918893	0.921724	2
14	82500001	0.850322	0.921724	2
14	85000001	0.618613	0.921724	2
14	87500001	0.781818	0.921724	2
14	90000001	1.13918	0.921724	2
14	92500001	1.27882	0.921724	2
14	95000001	0.915689	0.921724	2
14	97500001	0.790964	0.921724	2
14	100000001	1.13391	0.921724	2
14	102500001	1.01856	0.921724	2
14	105000001	-1	-1	2
15	1	-1	-1	1
15	2500001	-1	-1	1
15	5000001	-1	-1	1
15	7500001	-1	-1	1
15	10000001	-1	-1	1
15	12500001	-1	-1	1
15	15000001	-1	-1	1
15	17500001	-1	-1	1
15	20000001	-1	-1	1
15	22500001	-1	-1	1
15	25000001	0.302056	0.737926	1
15	27500001	-1	0.737926	1
15	30000001	-1	0.737926	1
15	32500001	-1	0.737926	1
15	35000001	0.966968	0.737926	1
15	37500001	0.737926	0.737926	1
15	40000001	1.1536	1.1536	2
15	42500001	1.36676	1.3448	3
15	45000001	1.38995	1.3448	3
15	47500001	1.3448	1.3448	3
15	50000001	1.31255	1.3448	3
15	52500001	1.37779	1.3448	3
15	55000001	1.43721	1.3448	3
15	57500001	1.01497	1.3448	3
15	60000001	0.927056	1.3448	3
15	62500001	1.09076	1.3448	3
15	65000001	1.56592	1.60041	3
15	67500001	1.53652	1.60041	3
15	70000001	1.65445	1.60041	3
15	72500001	1.71093	1.60041	3
15	75000001	1.79721	1.60041	3
15	77500001	1.7452	1.60041	3
15	80000001	1.16343	1.60041	3
15	82500001	-1	1.60041	3
15	85000001	1.46856	1.60041	3
15	87500001	1.37061	1.60041	3
15	90000001	1.69388	1.60041	3
15	92500001	1.31014	1.60041	3
15	95000001	1.72538	1.60041	3
15	97500001	1.6349	1.60041	3
15	100000001	1.56042	1.60041	3
15	102500001	-1	-1	3
16	1	3.87342	3.87342	8
16	2500001	1.53587	1.53587	3
16	5000001	0.620495	0.820994	2
16	7500001	0.681053	0.820994	2
16	10000001	0.981791	0.820994	2
16	12500001	0.858867	0.820994	2
16	15000001	-1	0.820994	2
16	17500001	-1	0.820994	2
16	20000001	-1	0.820994	2
16	22500001	1.12858	0.820994	2
16	25000001	0.596281	0.820994	2
16	27500001	-1	0.820994	2
16	30000001	-1	0.820994	2
16	32500001	-1	0.820994	2
16	35000001	-1	0.820994	2
16	37500001	-1	0.820994	2
16	40000001	-1	0.820994	2
16	42500001	-1	0.820994	2
16	45000001	-1	0.820994	2
16	47500001	0.81277	0.820994	2
16	50000001	0.735342	0.820994	2
16	52500001	0.7686	0.820994	2
16	55000001	0.827918	0.820994	2
16	57500001	0.869353	0.820994	2
16	60000001	0.430017	0.820994	2
16	62500001	0.532342	0.820994	2
16	65000001	0.867778	0.820994	2
16	67500001	0.714735	0.820994	2
16	70000001	1.09318	0.820994	2
16	72500001	1.01954	0.820994	2
16	75000001	0.576832	0.820994	2
16	77500001	0.624969	0.820994	2
16	80000001	0.872546	0.820994	2
16	82500001	0.820994	0.820994	2
16	85000001	1.05909	0.820994	2
16	87500001	1.35898	0.820994	2
16	90000001	-1	-1	2
17	1	0.669247	0.448058	1
17	2500001	0.537209	0.448058	1
17	5000001	0.352675	0.448058	1
17	7500001	0.448058	0.448058	1
17	10000001	0.265931	0.448058	1
17	12500001	0.331628	0.448058	1
17	15000001	-1	0.448058	1
17	17500001	-1	0.448058	1
17	20000001	-1	0.448058	1
17	22500001	-1	0.448058	1
17	25000001	-1	0.448058	1
17	27500001	0.569698	0.448058	1
17	30000001	0.313265	0.448058	1
17	32500001	-1	0.448058	1
17	35000001	0.44883	0.448058	1
17	37500001	0.638472	0.448058	1
17	40000001	0.656887	0.448058	1
17	42500001	-1	0.448058	1
17	45000001	0.561652	0.448058	1
17	47500001	0.381918	0.448058	1
17	50000001	0.0452585	0.448058	1
17	52500001	0.293254	0.448058	1
17	55000001	0.459612	0.459612	1
17	57500001	0.74943	0.761282	2
17	60000001	0.773135	0.761282	2
17	62500001	0.918504	0.761282	2
17	65000001	0.683919	0.761282	2
17	67500001	0.206759	0.470141	1
17	70000001	0.470141	0.470141	1
17	72500001	0.574008	0.470141	1
17	75000001	0.469863	0.470141	1
17	77500001	0.813049	0.470141	1
17	80000001	-1	-1	1
18	1	0.255022	0.394782	1
18	2500001	0.394782	0.394782	1
18	5000001	0.410541	0.394782	1
18	7500001	0.383424	0.394782	1
18	10000001	0.474723	0.394782	1
18	12500001	-1	-1	3
18	15000001	-1	-1	3
18	17500001	-1	-1	3
18	20000001	1.32708	1.70286	3
18	22500001	1.4535	1.70286	3
18	25000001	0.973043	1.70286	3
18	27500001	2.03336	1.70286	3
18	30000001	2.10202	1.70286	3
18	32500001	1.95223	1.70286	3
18	35000001	1.39601	1.39601	3
18	37500001	0.693584	0.46438	1
18	40000001	0.184123	0.46438	1
18	42500001	0.609312	0.46438	1
18	45000001	0.828022	0.46438	1
18	47500001	0.654169	0.46438	1
18	50000001	0.300691	0.46438	1
18	52500001	0.514202	0.46438	1
18	55000001	1.00999	0.46438	1
18	57500001	0.448166	0.46438	1
18	60000001	0.442293	0.46438	1
18	62500001	0.423308	0.46438	1
18	65000001	0.255259	0.46438	1
18	67500001	0.384488	0.46438	1
18	70000001	0.480593	0.46438	1
18	72500001	0.586691	0.46438	1
18	75000001	0.385915	0.46438	1
18	77500001	-1	-1	1
19	1	2.35602	1.70341	3
19	2500001	1.05081	1.70341	3
19	5000001	0.694915	0.819222	2
19	7500001	0.431329	0.819222	2
19	10000001	0.734033	0.819222	2
19	12500001	0.974685	0.819222	2
19	15000001	0.904412	0.819222	2
19	17500001	1.05947	0.819222	2
19	20000001	0.409723	0.579477	1
19	22500001	-1	0.579477	1
19	25000001	-1	0.579477	1
19	27500001	0.413376	0.579477	1
19	30000001	0.460541	0.579477	1
19	32500001	0.623557	0.579477	1
19	35000001	0.647024	0.579477	1
19	37500001	0.576492	0.579477	1
19	40000001	0.78943	0.579477	1
19	42500001	1.05401	0.579477	1
19	45000001	0.716904	0.579477	1
19	47500001	0.98116	0.579477	1
19	50000001	0.579477	0.579477	1
19	52500001	0.31588	0.579477	1
19	55000001	0.417994	0.579477	1
19	57500001	-1	-1	1
2	1	1.11904	0.899471	2
2	2500001	0.841473	0.899471	2
2	5000001	0.899471	0.899471	2
2	7500001	1.48689	1.48347	3
2	10000001	1.39353	1.48347	3
2	12500001	1.20682	1.48347	3
2	15000001	1.33535	1.48347	3
2	17500001	1.68764	1.48347	3
2	20000001	1.63269	1.48347	3
2	22500001	1.62693	1.48347	3
2	25000001	1.48005	1.48347	3
2	27500001	1.56474	1.48347	3
2	30000001	1.10478	1.48347	3
2	32500001	2.7449	2.7449	5
2	35000001	1.47846	1.47973	3
2	37500001	1.74256	1.47973	3
2	40000001	1.48101	1.47973	3
2	42500001	1.27932	1.47973	3
2	45000001	1.60325	1.47973	3
2	47500001	1.14821	1.47973	3
2	50000001	1.01985	1.47973	3
2	52500001	1.13674	1.47973	3
2	55000001	1.53242	1.47973	3
2	57500001	1.45687	1.47973	3
2	60000001	1.75875	1.47973	3
2	62500001	1.76176	1.47973	3
2	65000001	1.68437	1.47973	3
2	67500001	1.55742	1.47973	3
2	70000001	1.39077	1.47973	3
2	72500001	1.41408	1.47973	3
2	75000001	1.05009	1.05009	2
2	77500001	0.843186	1.05009	2
2	80000001	1.02492	1.05009	2
2	82500001	1.23729	1.05009	2
2	85000001	-1	1.05009	2
2	87500001	-1	1.05009	2
2	90000001	-1	1.05009	2
2	92500001	-1	1.05009	2
2	95000001	-1	1.05009	2
2	97500001	-1	1.05009	2
2	100000001	1.46104	1.05009	2
2	102500001	1.1513	1.05009	2
2	105000001	1.18981	1.05009	2
2	107500001	1.37703	1.05009	2
2	110000001	-1	1.05009	2
2	112500001	-1	1.05009	2
2	115000001	0.425116	1.05009	2
2	117500001	1.01013	1.05009	2
2	120000001	1.47263	1.05009	2
2	122500001	0.962324	1.05009	2
2	125000001	0.763869	1.05009	2
2	127500001	1.61356	1.40362	3
2	130000001	-1	1.40362	3
2	132500001	-1	1.40362	3
2	135000001	1.4957	1.40362	3
2	137500001	1.29663	1.40362	3
2	140000001	1.12575	1.40362	3
2	142500001	1.40363	1.40362	3
2	145000001	1.62397	1.40362	3
2	147500001	1.24816	1.40362	3
2	150000001	1.37502	1.40362	3
2	152500001	1.49181	1.40362	3
2	155000001	1.35783	1.40362	3
2	157500001	1.95768	1.40362	3
2	160000001	1.65733	1.40362	3
2	162500001	1.00083	1.40362	3
2	165000001	1.40362	1.40362	3
2	167500001	1.27159	1.40362	3
2	170000001	1.4126	1.40362	3
2	172500001	1.38186	1.40362	3
2	175000001	1.65055	1.40362	3
2	177500001	1.26188	1.22889	2
2	180000001	1.15515	1.22889	2
2	182500001	1.18828	1.22889	2
2	185000001	0.758658	1.22889	2
2	187500001	0.88825	1.22889	2
2	190000001	1.61856	1.22889	2
2	192500001	0.972744	1.22889	2
2	195000001	1.06667	1.22889	2
2	197500001	1.65875	1.22889	2
2	200000001	1.37242	1.22889	2
2	202500001	1.26668	1.22889	2
2	205000001	1.25383	1.22889	2
2	207500001	1.52661	1.22889	2
2	210000001	1.20395	1.22889	2
2	212500001	1.0682	1.22889	2
2	215000001	1.48227	1.22889	2
2	217500001	0.970071	1.02183	2
2	220000001	1.04569	1.02183	2
2	222500001	1.17632	1.02183	2
2	225000001	1.18069	1.02183	2
2	227500001	0.762784	1.02183	2
2	230000001	1.03236	1.02183	2
2	232500001	1.08341	1.02183	2
2	235000001	1.00207	1.02183	2
2	237500001	0.849733	1.02183	2
2	240000001	1.01131	1.02183	2
2	242500001	-1	-1	2
20	1	0.642677	0.887903	2
20	2500001	0.945445	0.887903	2
20	5000001	1.13985	0.887903	2
20	7500001	0.922132	0.887903	2
20	10000001	0.853675	0.887903	2
20	12500001	0.851779	0.887903	2
20	15000001	0.368437	0.484067	1
20	17500001	0.484067	0.484067	1
20	20000001	0.587798	0.484067	1
20	22500001	0.349386	0.437884	1
20	25000001	-1	0.437884	1
20	27500001	-1	0.437884	1
20	30000001	0.557775	0.437884	1
20	32500001	0.522263	0.437884	1
20	35000001	0.486404	0.437884	1
20	37500001	0.432758	0.437884	1
20	40000001	0.461347	0.437884	1
20	42500001	0.310386	0.437884	1
20	45000001	0.294582	0.437884	1
20	47500001	0.44301	0.437884	1
20	50000001	0.447399	0.437884	1
20	52500001	0.278374	0.437884	1
20	55000001	0.380257	0.437884	1
20	57500001	0.214897	0.437884	1
20	60000001	0.85096	0.437884	1
20	62500001	-1	-1	1
21	1	-1	1.31316	3
21	2500001	-1	1.31316	3
21	5000001	-1	1.31316	3
21	7500001	-1	1.31316	3
21	10000001	-1	1.31316	3
21	12500001	-1	1.31316	3
21	15000001	0.899483	1.31316	3
21	17500001	1.09083	1.31316	3
21	20000001	0.953098	1.31316	3
21	22500001	1.03311	1.31316	3
21	25000001	1.3054	1.31316	3
21	27500001	1.52138	1.31316	3
21	30000001	1.51785	1.31316	3
21	32500001	1.856	1.31316	3
21	35000001	1.5627	1.31316	3
21	37500001	1.55368	1.31316	3
21	40000001	1.31316	1.31316	3
21	42500001	1.31974	1.31316	3
21	45000001	1.22597	1.31316	3
21	47500001	-1	1.31316	3
22	1	-1	1.1011	2
22	2500001	-1	1.1011	2
22	5000001	-1	1.1011	2
22	7500001	-1	1.1011	2
22	10000001	-1	1.1011	2
22	12500001	-1	1.1011	2
22	15000001	-1	1.1011	2
22	17500001	1.27102	1.1011	2
22	20000001	-1	1.1011	2
22	22500001	1.0587	1.1011	2
22	25000001	0.909809	1.1011	2
22	27500001	1.08415	1.1011	2
22	30000001	1.11805	1.1011	2
22	32500001	0.552029	1.1011	2
22	35000001	1.0692	1.1011	2
22	37500001	1.67709	1.1011	2
22	40000001	1.38882	1.1011	2
22	42500001	1.14283	1.1011	2
22	45000001	1.35936	1.1011	2
22	47500001	0.967163	1.1011	2
22	50000001	-1	1.1011	2
3	1	1.10512	1.61257	3
3	2500001	1.71591	1.61257	3
3	5000001	1.75262	1.61257	3
3	7500001	1.49732	1.61257	3
3	10000001	1.49053	1.61257	3
3	12500001	1.79394	1.61257	3
3	15000001	2.34706	1.61257	3
3	17500001	1.82898	1.61257	3
3	20000001	1.30657	1.61257	3
3	22500001	1.81419	1.61257	3
3	25000001	1.50924	1.61257	3
3	27500001	1.38125	1.61257	3
3	30000001	1.7893	1.9897	4
3	32500001	2.17604	1.9897	4
3	35000001	1.69948	1.9897	4
3	37500001	1.90973	1.9897	4
3	40000001	2.31533	1.9897	4
3	42500001	2.06968	1.9897	4
3	45000001	1.58564	1.22398	2
3	47500001	1.48971	1.22398	2
3	50000001	1.11617	1.22398	2
3	52500001	1.04537	1.22398	2
3	55000001	1.19442	1.22398	2
3	57500001	1.14393	1.22398	2
3	60000001	1.04525	1.22398	2
3	62500001	0.941739	1.22398	2
3	65000001	1.31804	1.22398	2
3	67500001	1.63537	1.22398	2
3	70000001	1.65857	1.22398	2
3	72500001	1.38373	1.22398	2
3	75000001	1.61093	1.22398	2
3	77500001	1.63183	1.22398	2
3	80000001	1.43842	1.22398	2
3	82500001	1.30754	1.22398	2
3	85000001	1.30517	1.22398	2
3	87500001	1.01692	1.22398	2
3	90000001	-1	1.22398	2
3	92500001	-1	1.22398	2
3	95000001	0.869294	1.22398	2
3	97500001	1.43717	1.22398	2
3	100000001	1.46095	1.22398	2
3	102500001	0.780434	1.22398	2
3	105000001	1.04897	1.22398	2
3	107500001	0.697297	1.22398	2
3	110000001	0.917375	1.22398	2
3	112500001	1.27738	1.22398	2
3	115000001	0.91829	1.22398	2
3	117500001	1.03022	1.22398	2
3	120000001	1.32235	1.22398	2
3	122500001	1.28631	1.22398	2
3	125000001	1.27298	1.22398	2
3	127500001	1.75461	1.22398	2
3	130000001	1.42311	1.22398	2
3	132500001	1.22851	1.22398	2
3	135000001	1.21945	1.22398	2
3	137500001	1.19378	1.22398	2
3	140000001	1.11473	1.22398	2
3	142500001	1.18139	1.22398	2
3	145000001	0.881567	1.22398	2
3	147500001	1.17096	1.22398	2
3	150000001	1.85882	1.53169	3
3	152500001	1.60942	1.53169	3
3	155000001	1.78264	1.53169	3
3	157500001	1.42024	1.53169	3
3	160000001	1.36791	1.53169	3
3	162500001	1.04242	1.53169	3
3	165000001	1.27161	1.53169	3
3	167500001	1.44881	1.53169	3
3	170000001	1.36654	1.53169	3
3	172500001	1.21172	1.53169	3
3	175000001	1.59176	1.53169	3
3	177500001	1.83077	1.53169	3
3	180000001	1.47998	1.53169	3
3	182500001	1.36501	1.53169	3
3	185000001	1.65499	1.53169	3
3	187500001	1.79434	1.53169	3
3	190000001	1.62234	1.53169	3
3	192500001	1.85854	1.53169	3
3	195000001	1.53169	1.53169	3
3	197500001	-1	-1	3
4	1	1.52816	1.28403	3
4	2500001	1.27084	1.28403	3
4	5000001	0.982254	1.28403	3
4	7500001	-1	1.28403	3
4	10000001	1.19525	1.28403	3
4	12500001	1.11282	1.28403	3
4	15000001	1.53712	1.28403	3
4	17500001	1.79216	1.28403	3
4	20000001	1.55108	1.28403	3
4	22500001	1.6829	1.28403	3
4	25000001	1.64599	1.28403	3
4	27500001	1.18974	1.28403	3
4	30000001	1.06674	1.28403	3
4	32500001	0.883548	1.28403	3
4	35000001	1.29723	1.28403	3
4	37500001	1.64509	1.75147	4
4	40000001	1.85785	1.75147	4
4	42500001	2.16338	1.75147	4
4	45000001	1.56265	1.75147	4
4	47500001	-1	1.75147	4
4	50000001	-1	1.75147	4
4	52500001	1.95623	1.75147	4
4	55000001	1.64395	1.75147	4
4	57500001	1.08453	1.12347	2
4	60000001	0.8845	1.12347	2
4	62500001	1.12347	1.12347	2
4	65000001	1.18483	1.12347	2
4	67500001	1.39664	1.12347	2
4	70000001	1.33586	1.12347	2
4	72500001	0.993565	1.12347	2
