chr	Start	End	Length	Hits	center	median
chr1	15489942	15490281	340	23.49016231	15490014	15490056
chr1	16179640	16180053	414	66.28730734	16179967	16179950
chr1	16258342	16258389	48	9.2244473	16258346	16258346
chr1	16343357	16343490	134	11.41257201	16343436	16343434
chr1	16366742	16367059	318	21.9885081	16367010	16366985
chr1	16443517	16443554	38	2.338290129	16443553	16443544
chr1	16561293	16561382	90	15.48849058	16561356	16561352
chr1	17081178	17081261	84	6.714539546	17081230	17081229
chr1	17083459	17083499	41	15.27396855	17083498	17083497
chr1	17327652	17327866	215	16.90433598	17327765	17327752
chr1	17974504	17974534	31	5.985164643	17974508	17974509
chr1	18170770	18171002	233	13.81521875	18170892	18170881
chr1	18438975	18439007	33	2.016507084	18438995	18438998
chr1	18494274	18494381	108	21.02315896	18494294	18494300
chr1	18792000	18792088	89	8.580881209	18792038	18792038
chr1	18979757	18980428	672	88.19000662	18980222	18980196
chr1	19133937	19134167	231	18.51325121	19134019	19134041
chr1	19173028	19173097	70	16.83997937	19173066	19173065
chr1	20218122	20218631	510	49.18990153	20218421	20218418
chr1	20640408	20640475	68	2.660073175	20640438	20640444
chr1	20818817	20818942	126	15.08089872	20818845	20818855
chr1	21127291	21127637	347	20.12216643	21127601	21127511
chr1	21332843	21333268	426	54.35988246	21332956	21332974
chr1	21436777	21437056	280	22.31029114	21436991	21436937
chr1	21620971	21621720	750	123.2214542	21621509	21621490
chr1	21732412	21732539	128	25.82845244	21732489	21732485
chr1	21805176	21805615	440	26.34330531	21805534	21805408
chr1	21918116	21918954	839	118.4805173	21918436	21918491
chr1	21932535	21932661	127	12.67825199	21932601	21932600
chr1	22061574	22062175	602	95.99860852	22061844	22061846
chr1	22099390	22100348	959	77.97875799	22099873	22099877
chr1	22198846	22199012	167	16.04624786	22198956	22198948
chr1	22370029	22370456	428	77.3780963	22370393	22370372
chr1	22806221	22806277	57	3.518161296	22806233	22806233
chr1	22845095	22846199	1105	171.1456757	22845630	22845649
chr1	22946717	22947141	425	110.3930368	22947042	22947024
chr1	23047976	23048340	365	19.65021797	23048285	23048231
chr1	23111806	23111859	54	2.166672505	23111829	23111831
chr1	23133222	23133257	36	3.260734859	23133236	23133241
chr1	23343851	23344297	447	71.07114861	23343972	23344016
chr1	23356627	23356694	68	5.448859568	23356650	23356652
chr1	23376382	23376494	113	22.16012572	23376455	23376452
chr1	23483694	23483756	63	5.556120583	23483749	23483746
chr1	23515911	23516074	164	8.967020863	23516023	23516005
chr1	23536567	23536893	327	24.21953721	23536821	23536787
chr1	24083574	24084546	973	179.2331563	24083874	24083891
chr1	24104919	24104978	60	5.792094816	24104943	24104943
chr1	24223999	24224135	137	9.975274405	24224070	24224072
chr1	24451796	24451864	69	11.13369337	24451837	24451837
chr1	24492016	24492040	25	19.54295695	24492034	24492034
chr1	24598096	24598120	25	2.917499611	24598101	24598101
chr1	24609908	24609998	91	3.839944341	24609953	24609953
chr1	24692207	24692268	62	2.917499611	24692244	24692237
chr1	25239782	25240193	412	52.66515842	25240075	25240061
chr1	25384319	25384976	658	30.48358049	25384606	25384627
chr1	25519311	25519646	336	12.57099097	25519618	25519567
chr1	25531988	25532099	112	13.60069672	25532064	25532063
chr1	25534702	25534985	284	93.98210144	25534825	25534834
chr1	26388232	26388388	157	10.10398762	26388303	26388304
chr1	28035535	28035587	53	4.655128056	28035565	28035565
chr1	29077811	29078199	389	107.2395629	29078073	29078058
chr1	29780932	29781176	245	10.55448389	29781114	29781069
chr1	30839883	30839911	29	7.486818855	30839896	30839896
chr1	30851987	30852604	618	62.27574537	30852330	30852318
chr1	31060655	31060721	67	4.183179589	31060706	31060703
chr1	31405552	31406016	465	196.0302312	31405684	31405703
chr1	32079089	32079274	186	6.478565313	32079222	32079183
chr1	32242974	32243096	123	8.108932742	32243012	32243024
chr1	32310948	32312150	1203	281.2598338	32311394	32311468
chr1	32589602	32589644	43	2.660073175	32589619	32589616
chr1	32744287	32744375	89	4.655128056	32744314	32744313
chr1	32867358	32868458	1101	143.0003853	32867859	32867830
chr1	33366549	33367281	733	42.08922233	33367126	33367081
chr1	33377658	33377731	74	3.732683326	33377699	33377697
chr1	33546385	33546460	76	3.582517905	33546422	33546421
chr1	33565032	33565119	88	16.28222209	33565066	33565068
chr1	33764532	33765577	1046	1036.95659	33765013	33765029
chr1	33774319	33774467	149	30.22615406	33774410	33774407
chr1	34144444	34144633	190	7.722793088	34144616	34144565
chr1	34376918	34377119	202	41.29549082	34376953	34376976
chr1	35180881	35181175	295	41.81034369	35180990	35181000
chr1	35231302	35231968	667	78.40780205	35231625	35231634
chr1	35305902	35306278	377	41.05951658	35306204	35306178
chr1	35315827	35315968	142	6.778896155	35315880	35315884
chr1	35575520	35575660	141	6.135330064	35575588	35575587
chr1	35722337	35722972	636	22.95385723	35722895	35722789
chr1	35728971	35729405	435	44.36315585	35729027	35729080
chr1	35826744	35826850	107	10.08253542	35826806	35826806
chr1	36222389	36222837	449	83.0414779	36222700	36222680
chr1	36343219	36343323	105	9.65349136	36343260	36343261
chr1	36555793	36556227	435	28.12383816	36555926	36555988
chr1	36623691	36623802	112	6.88615717	36623730	36623731
chr1	36760862	36761132	271	35.41758719	36760929	36760944
chr1	36886417	36887511	1095	170.8238927	36887006	36887032
chr1	36904136	36904401	266	13.81521875	36904318	36904286
chr1	37121873	37121911	39	3.818492138	37121911	37121911
chr1	37157264	37157371	108	9.65349136	37157316	37157316
chr1	37350655	37350790	136	11.3267632	37350710	37350712
chr1	37388772	37388947	176	27.39446326	37388848	37388848
chr1	37397597	37397705	109	11.84161607	37397662	37397659
chr1	37616836	37617160	325	39.66512339	37616914	37616938
chr1	37671545	37672256	712	92.69496926	37671953	37671923
chr1	38008786	38009092	307	27.99512494	38008841	38008870
chr1	38095753	38095824	72	3.367995874	38095802	38095805
chr1	38221331	38221695	365	30.48358049	38221363	38221411
chr1	38223598	38224201	604	148.3205317	38223920	38223915
chr1	38311887	38312536	650	72.68006384	38312195	38312247
chr1	38384950	38385023	74	5.341598553	38384991	38384993
chr1	38680799	38680843	45	4.526414838	38680826	38680824
chr1	39021791	39022893	1103	73.32362993	39022379	39022313
chr1	39144026	39144079	54	2.810238596	39144048	39144048
chr1	39155011	39155064	54	5.191433131	39155019	39155022
chr1	39230290	39230996	707	120.3254068	39230669	39230675
chr1	39262551	39262636	86	5.74919041	39262607	39262606
chr1	39263819	39263850	32	2.960404017	39263838	39263838
chr1	39377682	39377748	67	5.877903628	39377701	39377703
chr1	39382424	39382538	115	13.64360112	39382483	39382483
chr1	39500739	39500801	63	3.990109762	39500764	39500764
chr1	39540335	39541128	794	75.89789429	39540871	39540827
chr1	39557991	39558244	254	25.78554803	39558058	39558078
chr1	39614384	39614822	439	18.74922544	39614487	39614549
chr1	39638146	39638290	145	26.2574965	39638185	39638193
chr1	39936323	39937396	1074	84.13554025	39936769	39936880
chr1	39953040	39953074	35	2.381194535	39953062	39953062
chr1	39958733	39958788	56	5.920808034	39958752	39958754
chr1	39984398	39985007	610	168.7215768	39984726	39984713
chr1	40110363	40110939	577	75.64046786	40110651	40110651
chr1	40228730	40228801	72	4.762389071	40228771	40228769
chr1	40295143	40296107	965	90.95734081	40295734	40295741
chr1	40469839	40470143	305	13.64360112	40469898	40469937
chr1	40489136	40489360	225	48.61069205	40489238	40489243
chr1	40536442	40536543	102	3.432352484	40536507	40536503
chr1	40773109	40773251	143	10.08253542	40773109	40773165
chr1	40815819	40816488	670	82.89131248	40816205	40816194
chr1	40840892	40840919	28	5.448859568	40840917	40840917
chr1	40947919	40948006	88	3.282187062	40947966	40947967
chr1	41256896	41256932	37	2.424098942	41256926	41256920
chr1	41584393	41584426	34	4.204631792	41584411	41584411
chr1	41649249	41649459	211	5.341598553	41649282	41649344
chr1	41660952	41661059	108	11.92742488	41660997	41660999
chr1	41793373	41793520	148	7.315201231	41793447	41793453
chr1	42021505	42022228	724	74.88964075	42021797	42021739
chr1	42255601	42255905	305	17.22611903	42255878	42255825
chr1	42515285	42515403	119	39.47205356	42515324	42515327
chr1	42825540	42826171	632	107.7544158	42825627	42825646
chr1	43173322	43174123	802	103.8286626	43173713	43173723
chr1	43454015	43454119	105	12.84986961	43454104	43454094
chr1	43512173	43512485	313	63.32690332	43512445	43512422
chr1	43685757	43686944	1188	148.4706971	43686418	43686430
chr1	43734129	43734216	88	8.280550367	43734173	43734173
chr1	43864458	43864534	77	12.785513	43864512	43864510
chr1	44017807	44017850	44	3.389448078	44017834	44017835
chr1	44027869	44027932	64	9.095734081	44027898	44027900
chr1	44179890	44179945	56	3.153473844	44179912	44179915
chr1	44204199	44204343	145	44.94236533	44204219	44204239
chr1	44473999	44474243	245	14.63040246	44474121	44474103
chr1	44662016	44662144	129	10.94062354	44662060	44662065
chr1	44951219	44951248	30	2.531359957	44951239	44951238
chr1	45345852	45346045	194	28.44562121	45345920	45345927
chr1	45838336	45838426	91	9.460421533	45838395	45838394
chr1	45872381	45872570	190	7.722793088	45872529	45872487
chr1	46200263	46200311	49	9.374612721	46200285	46200285
chr1	46378088	46378163	76	9.503325939	46378113	46378113
chr1	46907718	46908545	828	233.0352814	46908020	46908036
chr1	46914827	46915161	335	85.1866982	46914870	46914898
chr1	47821036	47821162	127	42.96876265	47821114	47821111
chr1	47910067	47910141	75	3.947205356	47910122	47910119
chr1	48814412	48814527	116	10.68319711	48814458	48814464
chr1	49624122	49624518	397	17.99839834	49624468	49624417
chr1	51062950	51062991	42	3.432352484	51062954	51062955
chr1	51376490	51376572	83	3.539613499	51376529	51376530
chr1	51382665	51383946	1282	36.38293633	51382780	51382947
chr1	51910115	51910162	48	3.153473844	51910150	51910149
chr1	52017835	52018344	510	82.56952943	52018188	52018152
chr1	52305783	52305901	119	5.556120583	52305839	52305839
chr1	52422352	52422595	244	21.43075082	52422444	52422476
chr1	52539014	52539181	168	13.00003503	52539128	52539120
chr1	53215667	53216246	580	39.51495797	53215935	53215965
chr1	53322346	53322654	309	48.71795306	53322453	53322449
chr1	53339626	53339668	43	2.853143002	53339646	53339646
chr1	53548163	53548299	137	16.94724039	53548245	53548243
chr1	53907828	53908523	696	112.0448564	53907925	53908008
chr1	54054064	54054165	102	5.04126771	54054122	54054118
chr1	54308047	54308475	429	55.11070956	54308345	54308328
chr1	54469380	54469520	141	19.1782695	54469422	54469426
chr1	54479067	54479965	899	99.47386541	54479373	54479370
chr1	54564389	54564479	91	10.12543983	54564457	54564456
chr1	54740062	54740501	440	109.1059046	54740431	54740399
chr1	54877421	54877529	109	6.414208704	54877472	54877470
chr1	55012136	55012235	100	11.69145065	55012205	55012198
chr1	55234055	55234286	232	30.41922389	55234173	55234171
chr1	55308437	55309475	1039	130.279229	55308833	55308864
chr1	55449497	55449535	39	2.574264363	55449503	55449503
chr1	55890895	55890954	60	4.39770162	55890919	55890915
chr1	55951461	55951572	112	8.688142224	55951504	55951506
chr1	56245179	56245262	84	4.247536198	56245211	56245214
chr1	56870439	56870545	107	7.958767321	56870481	56870485
chr1	58097991	58098163	173	51.93578352	58098071	58098073
chr1	58419422	58421171	1750	1168.758925	58420252	58420250
chr1	58438046	58438774	729	445.1332127	58438411	58438413
chr1	58556334	58556659	326	34.60240347	58556560	58556543
chr1	58574613	58574666	54	2.295385723	58574624	58574642
chr1	58965152	58965220	69	3.861396544	58965190	58965190
chr1	59150203	59150376	174	25.80700024	59150297	59150296
chr1	59157680	59157747	68	4.054466371	59157698	59157699
chr1	59162991	59163111	121	6.88615717	59163021	59163030
chr1	59249280	59250271	992	137.0581251	59249725	59249770
chr1	59359072	59359676	605	120.0250759	59359327	59359344
chr1	59403385	59403595	211	16.3465787	59403478	59403486
chr1	59771738	59773114	1377	42.582623	59772909	59772776
chr1	60105457	60106390	934	127.6620602	60105997	60105990
chr1	60119751	60119913	163	13.68650553	60119801	60119811
chr1	60271901	60272427	527	117.6438814	60272261	60272250
chr1	60549379	60549724	346	17.52644987	60549417	60549475
chr1	61061961	61061993	33	4.676580259	61061985	61061984
chr1	61278299	61278458	160	9.074281878	61278397	61278385
chr1	61421804	61421940	137	14.82347229	61421867	61421866
chr1	61545725	61546407	683	69.20480695	61546034	61546054
chr1	61697863	61698061	199	7.401010043	61697894	61697950
chr1	61796230	61797224	995	208.0220127	61796786	61796803
chr1	61872040	61872566	527	61.39620505	61872300	61872285
chr1	61916915	61916955	41	2.27393352	61916939	61916941
chr1	62122916	62123284	369	24.02646738	62123000	62123034
chr1	62580925	62580983	59	9.589134751	62580952	62580952
chr1	62591348	62591781	434	35.20306516	62591663	62591632
chr1	62776335	62777065	731	124.5085863	62776637	62776644
chr1	62785104	62785341	238	62.64043282	62785220	62785217
chr1	62923002	62923065	64	6.950513779	62923028	62923029
chr1	63151547	63152324	778	140.8980694	63152116	63152005
chr1	63251610	63251890	281	70.51339133	63251692	63251703
chr1	63727345	63727411	67	4.075918574	63727381	63727381
chr1	64071846	64072385	540	21.85979488	64072158	64072111
chr1	64105682	64105820	139	16.36803091	64105741	64105743
chr1	64321975	64322071	97	5.513216177	64322033	64322030
chr1	64336614	64336739	126	16.15350888	64336664	64336665
chr1	64694216	64695237	1022	325.5800853	64694745	64694735
chr1	64760355	64760458	104	4.590771447	64760404	64760404
chr1	64803689	64804240	552	41.83179589	64803940	64803949
chr1	64853042	64853203	162	14.41588043	64853131	64853130
chr1	65138430	65138567	138	15.20961194	65138494	65138491
chr1	65159717	65159963	247	71.60745369	65159895	65159890
chr1	65190566	65190653	88	9.567682548	65190597	65190599
chr1	65221957	65222341	385	30.03308423	65222048	65222065
chr1	65408272	65409311	1040	182.9443874	65408985	65408881
chr1	66196686	66197327	642	81.58272809	66197018	66197003
chr1	66342052	66342448	397	61.0315176	66342203	66342207
chr1	66416323	66416372	50	2.445551145	66416361	66416353
chr1	66452778	66452861	84	24.04791959	66452815	66452815
chr1	66938364	66939165	802	124.4013253	66938691	66938706
chr1	67026904	67027137	234	21.81689047	67026951	67026970
chr1	67228508	67228570	63	3.453804687	67228541	67228541
chr1	67391966	67392030	65	4.140275183	67392000	67392002
chr1	67460451	67460491	41	2.295385723	67460461	67460467
chr1	67544860	67544959	100	8.02312393	67544914	67544915
chr1	67798685	67798810	126	14.9307333	67798737	67798741
chr1	67935251	67935975	725	41.42420404	67935601	67935641
chr1	67961393	67963080	1688	308.0536354	67962336	67962357
chr1	68227526	68227672	147	5.641929395	68227638	68227595
chr1	68488200	68489710	1511	532.443679	68488981	68489010
chr1	68936621	68937447	827	84.28570567	68937204	68937073
chr1	69048584	69048742	159	9.074281878	69048679	69048668
chr1	69308209	69309457	1249	108.4837907	69309164	69309002
chr1	69315715	69315892	178	12.27066013	69315792	69315798
chr1	69419111	69419254	144	5.770642613	69419225	69419191
chr1	69591659	69592366	708	29.02483069	69592304	69592064
chr1	69859243	69859304	62	6.006616846	69859254	69859257
chr1	70060219	70060322	104	5.084172116	70060261	70060266
chr1	70064524	70064596	73	5.641929395	70064567	70064566
chr1	70731857	70731944	88	3.625422311	70731911	70731913
chr1	71065365	71065784	420	147.934392	71065488	71065496
chr1	71098935	71098992	58	3.046212829	71098968	71098976
chr1	71308720	71308843	124	37.28392885	71308767	71308767
chr1	71428565	71428920	356	74.43914449	71428852	71428838
chr1	71487736	71487761	26	2.27393352	71487754	71487750
chr1	71905181	71905286	106	5.127076522	71905224	71905223
chr1	72084950	72085014	65	5.084172116	72084983	72084983
chr1	72183499	72183835	337	30.80536354	72183704	72183695
chr1	72280422	72280615	194	61.18168302	72280515	72280515
chr1	72302278	72302409	132	12.44227775	72302326	72302329
chr1	72353826	72354069	244	28.68159544	72354048	72354008
chr1	72410761	72410838	78	6.349852095	72410802	72410801
chr1	72496778	72496931	154	19.80038339	72496810	72496820
chr1	73102970	73103067	98	8.173289351	73103013	73103014
chr1	73220044	73220169	126	7.036322591	73220129	73220127
chr1	73407147	73407411	265	27.24429784	73407250	73407266
chr1	73905276	73905403	128	18.89939086	73905338	73905340
chr1	73979571	73980215	645	90.95734081	73979940	73979928
chr1	74055038	74055138	101	7.744245291	74055061	74055070
chr1	74172327	74172411	85	3.603970108	74172377	74172372
chr1	74315019	74315090	72	4.290440604	74315069	74315068
chr1	74903972	74904078	107	7.679888682	74904039	74904037
chr1	74928061	74928219	159	15.01654212	74928155	74928152
chr1	74973516	74974068	553	55.21797058	74973774	74973766
chr1	74991915	74992273	359	12.16339911	74992239	74992186
chr1	75011970	75012388	419	144.3089697	75012085	75012105
chr1	75048208	75048953	746	131.9525008	75048625	75048634
chr1	75139517	75140098	582	162.6291511	75139874	75139858
chr1	75297165	75297523	359	30.01163203	75297457	75297412
chr1	75412995	75413022	28	5.04126771	75413011	75413011
chr1	75526232	75526314	83	5.620477192	75526262	75526263
chr1	75758986	75759070	85	12.84986961	75759021	75759023
chr1	75978742	75978895	154	20.46540168	75978853	75978847
chr1	75994161	75994522	362	24.06937179	75994279	75994298
chr1	76448336	76448402	67	2.381194535	76448364	76448359
chr1	76494880	76494925	46	1.866341663	76494905	76494915
chr1	76637168	76637221	54	5.513216177	76637199	76637200
chr1	76974886	76975743	858	151.6027188	76975256	76975258
chr1	77136842	77137201	360	38.59251324	77136931	77136945
chr1	77429612	77429748	137	22.31029114	77429664	77429664
chr1	77434792	77434865	74	8.130384945	77434793	77434796
chr1	77700468	77700588	121	9.202995097	77700531	77700530
chr1	78174919	78175506	588	160.1621478	78175244	78175234
chr1	78187024	78187467	444	54.03809941	78187135	78187152
chr1	78215866	78215893	28	2.037959287	78215881	78215877
chr1	78270208	78270335	128	17.39773665	78270274	78270275
chr1	78316968	78317578	611	62.59752842	78317252	78317259
chr1	78590834	78591048	215	46.42256734	78590926	78590929
chr1	78614574	78614701	128	16.41093531	78614671	78614666
chr1	78675974	78676033	60	2.788786393	78676013	78676012
chr1	78979612	78979737	126	10.23270084	78979673	78979673
chr1	79014574	79014639	66	2.788786393	79014604	79014598
chr1	79110043	79110137	95	5.53466838	79110096	79110097
chr1	79269127	79269151	25	1.909246069	79269127	79269139
chr1	79687219	79687273	55	4.054466371	79687246	79687245
chr1	80237718	80238586	869	243.4395999	80238223	80238208
chr1	80297860	80298427	568	333.9893489	80298324	80298286
chr1	80511720	80511780	61	3.153473844	80511753	80511752
chr1	80557252	80557303	52	2.488455551	80557278	80557288
chr1	80757688	80757784	97	6.735991749	80757740	80757738
chr1	80904146	80904331	186	16.23931769	80904250	80904244
chr1	81057753	81057866	114	9.181542893	81057812	81057809
chr1	81083891	81083975	85	8.066028336	81083934	81083933
chr1	81489619	81489776	158	20.20797525	81489705	81489704
chr1	81855697	81855750	54	4.976911101	81855728	81855727
chr1	82046112	82046141	30	2.617168769	82046139	82046122
chr1	82054421	82055072	652	132.3386404	82054900	82054860
chr1	82092735	82092809	75	4.161727386	82092756	82092757
chr1	82531143	82531217	75	4.676580259	82531174	82531176
chr1	82836323	82836492	170	23.68323214	82836399	82836399
chr1	83390063	83390208	146	29.56113576	83390144	83390144
chr1	83689729	83690347	619	55.75427565	83690083	83690070
chr1	84217874	84218205	332	14.09409739	84217940	84217983
chr1	84411239	84411267	29	2.402646738	84411263	84411263
chr1	84487350	84487439	90	4.633675853	84487392	84487393
chr1	84805403	84806785	1383	322.7054901	84806151	84806147
chr1	84811457	84811786	330	42.41100537	84811618	84811621
chr1	84815373	84815546	174	12.84986961	84815468	84815466
chr1	84843447	84843869	423	55.71137125	84843610	84843607
chr1	85717964	85718345	382	23.66177993	85718047	85718080
chr1	85774693	85774830	138	20.12216643	85774787	85774783
chr1	86087116	86088815	1700	204.2893294	86088206	86088188
chr1	86207878	86208119	242	7.937315118	86207904	86207956
chr1	86217329	86218755	1427	480.143208	86218057	86218083
chr1	86346344	86346464	121	4.483510432	86346393	86346397
chr1	86433055	86433160	106	3.797039935	86433104	86433108
chr1	86464055	86464104	50	3.260734859	86464086	86464085
chr1	86764887	86765517	631	59.95890745	86765178	86765186
chr1	86792790	86792909	120	4.419153823	86792855	86792860
chr1	86983581	86984439	859	124.680204	86983822	86983882
chr1	87096622	87096710	89	7.336653434	87096683	87096681
chr1	87239069	87240337	1269	40.97370777	87240243	87240013
chr1	87286478	87286863	386	87.52498833	87286550	87286563
chr1	87340155	87340261	107	27.22284564	87340215	87340217
chr1	87438317	87439208	892	219.0484451	87438622	87438637
chr1	87440533	87440613	81	6.028069049	87440591	87440588
chr1	87651675	87651805	131	10.12543983	87651709	87651731
chr1	87653309	87653376	68	6.070973455	87653364	87653361
chr1	87770441	87770557	117	10.16834423	87770491	87770492
chr1	88083880	88084245	366	14.35152382	88084218	88084122
chr1	88151105	88151149	45	3.089117235	88151130	88151130
chr1	88233491	88233515	25	1.909246069	88233531	88233503
chr1	88260409	88261228	820	58.02820918	88260704	88260734
chr1	88499040	88499809	770	100.3963101	88499515	88499493
chr1	88620529	88621186	658	59.72293321	88620851	88620876
chr1	88624887	88624934	48	0.858088121	88624910	88624911
chr1	88904608	88904632	25	4.676580259	88904609	88904609
chr1	89040156	89040252	97	5.770642613	89040215	89040210
chr1	89557334	89557445	112	4.82674568	89557389	89557388
chr1	89800307	89800681	375	35.09580414	89800580	89800548
chr1	89993014	89993059	46	6.028069049	89993030	89993030
chr1	90090617	90090803	187	14.05119298	90090700	90090704
chr1	90094449	90094502	54	3.603970108	90094469	90094469
chr1	90130900	90131120	221	17.39773665	90131012	90131008
chr1	90392300	90392402	103	30.44067609	90392362	90392361
chr1	90592105	90592313	209	67.70315274	90592225	90592223
chr1	90906050	90906636	587	80.03816948	90906326	90906321
chr1	90981844	90981954	111	9.310256112	90981899	90981900
chr1	91096435	91097405	971	23.59742332	91097080	91096906
chr1	91342261	91342426	166	33.50834112	91342342	91342343
chr1	91422767	91423691	925	48.69650086	91422803	91422991
chr1	91510140	91510225	86	13.4719835	91510208	91510206
chr1	91530097	91530651	555	90.20651371	91530171	91530202
chr1	91549811	91549932	122	6.264043282	91549862	91549865
chr1	92282391	92283253	863	10.55448389	92283222	92282985
chr1	92296050	92296076	27	1.909246069	92296053	92296060
chr1	92345492	92346194	703	75.03980617	92345865	92345868
chr1	92515104	92515175	72	7.486818855	92515116	92515116
chr1	92944432	92944477	46	5.105624319	92944447	92944448
chr1	93113875	93114232	358	82.71969485	93113963	93113985
chr1	93234412	93235243	832	202.3371789	93234891	93234856
chr1	93293865	93294590	726	125.0234392	93294238	93294233
chr1	93346138	93346288	151	10.21124864	93346218	93346217
chr1	93470847	93471235	389	21.66672505	93471148	93471122
chr1	93486838	93486994	157	21.25913319	93486890	93486896
chr1	93544492	93544518	27	2.188124708	93544504	93544499
chr1	93552716	93553082	367	24.62712907	93552971	93552952
chr1	93626021	93626185	165	21.70962946	93626071	93626088
chr1	93672881	93674157	1277	93.55305738	93674038	93673587
chr1	93790387	93790460	74	10.85481473	93790436	93790436
chr1	93806809	93806841	33	2.938951814	93806816	93806816
chr1	94029560	94029704	145	7.765697494	94029632	94029633
chr1	94332101	94332229	129	10.40431847	94332157	94332162
chr1	94574462	94574681	220	76.02660751	94574587	94574588
chr1	96140524	96140567	44	2.745881987	96140546	96140546
chr1	96282923	96283136	214	8.666690021	96282987	96283020
chr1	96349420	96349514	95	17.7624241	96349485	96349484
chr1	96886278	96886389	112	6.156782267	96886332	96886330
chr1	96997264	96997636	373	33.80867196	96997568	96997544
chr1	97073425	97073484	60	3.389448078	97073465	97073462
chr1	97734677	97734869	193	56.61236378	97734780	97734781
chr1	97801028	97801136	109	14.50168924	97801063	97801063
chr1	98077414	98077598	185	29.41097034	98077549	98077543
chr1	98727072	98727447	376	18.79212985	98727397	98727336
chr1	99223076	99223160	85	4.290440604	99223131	99223127
chr1	99541312	99541445	134	8.409263585	99541356	99541357
chr1	99883304	99883966	663	70.72791336	99883651	99883666
chr1	100023551	100023633	83	4.183179589	100023580	100023583
chr1	100974846	100974945	100	9.374612721	100974878	100974880
chr1	102482732	102482809	78	10.81191032	102482753	102482756
chr1	103967003	103967207	205	15.29542075	103967107	103967101
chr1	104668362	104668616	255	54.48859568	104668462	104668463
chr1	104775709	104776101	393	37.94894715	104775761	104775805
chr1	104820977	104821158	182	17.54790207	104821053	104821048
chr1	105174759	105174859	101	8.924116457	105174819	105174817
chr1	105417364	105417403	40	2.788786393	105417374	105417375
chr1	105963724	105963813	90	24.45551145	105963760	105963762
chr1	106069087	106069163	77	3.47525689	106069127	106069127
chr1	106262312	106262423	112	26.60073175	106262370	106262369
chr1	106312862	106312890	29	5.427407365	106312887	106312886
chr1	106315602	106316645	1044	890.4594952	106316011	106316040
chr1	106389685	106389733	49	4.762389071	106389710	106389712
chr1	106452267	106452370	104	4.247536198	106452321	106452315
chr1	106587925	106588379	455	116.549819	106588041	106588051
chr1	106729842	106730351	510	75.29723261	106730109	106730113
chr1	106741131	106741783	653	84.73620194	106741403	106741415
chr1	106752896	106753450	555	28.74595205	106753165	106753187
chr1	106958400	106958533	134	16.64690955	106958463	106958462
chr1	107473556	107473621	66	3.861396544	107473588	107473588
chr1	108379407	108379898	492	35.07435194	108379703	108379710
chr1	108656394	108656787	394	48.20310019	108656739	108656702
chr1	108686224	108686590	367	24.94891211	108686260	108686310
chr1	108912868	108913286	419	33.12220147	108913151	108913131
